wave,post_url,post_owner,commenter,likes,text
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,jjosephbankss,1,@theclosetbyconnor_ you hit the nail on the head. It’s really bad
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,jackfrisenda,112,"No one does nylon like Prada, they should stick to their coated canvas. This is a huge miss 😕"
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,theveganbaggirl,1,A recycling nightmare lol 😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,witty.the.pooh,1,😂😂😂😂😂😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,aimee_9031,4,Havre de Luxe water repellent spray for the vachetta is a life saver I’ve done my Alma and that’s covered in the stuff. It’ll still patina but HOPEFULLY evenly.
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,boysandtheireightinchrockets,1,These prices for plastic and silk? Wow! 😂
w3,https://www.instagram.com/p/DamZiG6xIri/,theclosetbyconnor_,noah893585,1,We want leather
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,michellemabelle1000,1,Crack Shack loves it
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,jennkrug007,2,Hilarious! You are so right. I think the bird house is the worst!
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,manepalha,2,I have the Milk box and I LOVE it!
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,desloveslv,1,🤣🤣😭
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,harrietohara,1,Putting in my order for the methadone rabbit please and thank you 😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,cherylhargraveivers,1,😂😂😂 I can’t 😂😂😂 crack shack 😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,ellatakespictures0,1,😂😂😂 No notes 📝 10/10 review!!
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,melissatherighthandbag,3,😂😂😂😂😂😂😂 You have seen some sausages 🤣🤣🤣🤣🤣🤣
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,itscassiethorpe,37,ON METHADONE IM FINISHED 😂😂😂😂
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,adki5975,1,Appalling
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,styledwithbags,3,What in the hell??? These are all horrible!  That shack looks like a toddler built it out of Lincoln Logs!  A
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,so_much_design_with_hanne,1,"😂Yes, LV crafts projects - and I love a good piece craftmanship - this isn’t it ❤️"
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,luxesbeauties,1,OMG so true!!!😂🤣😂 these are all hideous… the methadone bunny 🤣 crack shack or ugly phone🤦🏻‍♀️ or peck case dog🙄
w3,https://www.instagram.com/p/Db4xD3aRCnW/,theclosetbyconnor_,luangabrielpr,1,👏🏽❤️🌼
